path,n_objects,response
data/vlm/2D/counting_control/images/nObjects=11_trial=50.png,11,[5]
data/vlm/2D/counting_control/images/nObjects=17_trial=20.png,17,[15].
data/vlm/2D/counting_control/images/nObjects=18_trial=2.png,18,[14]
data/vlm/2D/counting_control/images/nObjects=18_trial=21.png,18,[15].
data/vlm/2D/counting_control/images/nObjects=11_trial=61.png,11,[5]
data/vlm/2D/counting_control/images/nObjects=3_trial=98.png,3,[1]
data/vlm/2D/counting_control/images/nObjects=9_trial=47.png,9,[1] [2]
data/vlm/2D/counting_control/images/nObjects=14_trial=67.png,14,[5]
data/vlm/2D/counting_control/images/nObjects=15_trial=14.png,15,[16].
data/vlm/2D/counting_control/images/nObjects=10_trial=18.png,10,[1] [2]
data/vlm/2D/counting_control/images/nObjects=20_trial=86.png,20,[14]
data/vlm/2D/counting_control/images/nObjects=9_trial=87.png,9,[1] [2]
data/vlm/2D/counting_control/images/nObjects=18_trial=44.png,18,[16]
data/vlm/2D/counting_control/images/nObjects=8_trial=17.png,8,"[down, heart, star"
data/vlm/2D/counting_control/images/nObjects=18_trial=90.png,18,[16]
data/vlm/2D/counting_control/images/nObjects=14_trial=80.png,14,[1] [2]
data/vlm/2D/counting_control/images/nObjects=20_trial=3.png,20,[14]
data/vlm/2D/counting_control/images/nObjects=14_trial=95.png,14,[1] [2]
data/vlm/2D/counting_control/images/nObjects=3_trial=50.png,3,[1]
data/vlm/2D/counting_control/images/nObjects=2_trial=85.png,2,[2]
data/vlm/2D/counting_control/images/nObjects=18_trial=99.png,18,[1]
data/vlm/2D/counting_control/images/nObjects=17_trial=84.png,17,[15].
data/vlm/2D/counting_control/images/nObjects=8_trial=89.png,8,[1] [2]
data/vlm/2D/counting_control/images/nObjects=3_trial=78.png,3,[1]
data/vlm/2D/counting_control/images/nObjects=18_trial=27.png,18,[14]
data/vlm/2D/counting_control/images/nObjects=5_trial=33.png,5,[2]
data/vlm/2D/counting_control/images/nObjects=10_trial=50.png,10,[1] [2]
data/vlm/2D/counting_control/images/nObjects=18_trial=53.png,18,[15]
data/vlm/2D/counting_control/images/nObjects=8_trial=53.png,8,[1] [2]
data/vlm/2D/counting_control/images/nObjects=13_trial=54.png,13,[5]
data/vlm/2D/counting_control/images/nObjects=1_trial=77.png,1,[1].
data/vlm/2D/counting_control/images/nObjects=9_trial=20.png,9,[5].
data/vlm/2D/counting_control/images/nObjects=19_trial=77.png,19,[14]
data/vlm/2D/counting_control/images/nObjects=16_trial=2.png,16,[1]
data/vlm/2D/counting_control/images/nObjects=18_trial=96.png,18,[13]
data/vlm/2D/counting_control/images/nObjects=5_trial=16.png,5,[1] [2]
data/vlm/2D/counting_control/images/nObjects=10_trial=6.png,10,[1] [2]
data/vlm/2D/counting_control/images/nObjects=4_trial=71.png,4,[<]
data/vlm/2D/counting_control/images/nObjects=15_trial=53.png,15,[1]
data/vlm/2D/counting_control/images/nObjects=19_trial=42.png,19,[16].
data/vlm/2D/counting_control/images/nObjects=11_trial=52.png,11,[1] [2]
