path,popout,n_objects,response,answer
data/vlm/2D/disjunctive_search_control/images/uniform-35_91.png,False,35,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-45_34.png,False,45,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-5_42.png,True,5,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-45_73.png,True,45,True.,
data/vlm/2D/disjunctive_search_control/images/popout-30_91.png,True,30,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-45_1.png,True,45,True.,
data/vlm/2D/disjunctive_search_control/images/uniform-15_84.png,False,15,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-5_71.png,False,5,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-50_6.png,False,50,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-5_3.png,True,5,[false].,
data/vlm/2D/disjunctive_search_control/images/popout-50_95.png,True,50,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-5_93.png,False,5,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-50_33.png,False,50,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-35_85.png,False,35,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-35_0.png,False,35,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-25_18.png,True,25,True.,
data/vlm/2D/disjunctive_search_control/images/uniform-15_31.png,False,15,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-20_26.png,False,20,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-25_52.png,True,25,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-35_53.png,False,35,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-45_47.png,True,45,True.,
data/vlm/2D/disjunctive_search_control/images/popout-5_61.png,True,5,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-45_54.png,False,45,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-30_69.png,True,30,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-10_46.png,True,10,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-25_42.png,False,25,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-5_54.png,True,5,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-25_26.png,False,25,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-25_1.png,True,25,True.,
data/vlm/2D/disjunctive_search_control/images/popout-35_34.png,True,35,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-25_30.png,False,25,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-15_63.png,True,15,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-20_68.png,True,20,[true].,
data/vlm/2D/disjunctive_search_control/images/uniform-45_89.png,False,45,[true].,
data/vlm/2D/disjunctive_search_control/images/popout-20_85.png,True,20,[true].,
