unified_path,decomposed_paths,feature,feature_value,pair,pair_loc,object_loc,object_ind,response
data/vlm/2D/rmts/images/trial-187.png,"['data/vlm/2D/rmts/images/source-187.png', 'data/vlm/2D/rmts/images/target1-187.png', 'data/vlm/2D/rmts/images/target2-187.png']",color,red,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-34.png,"['data/vlm/2D/rmts/images/source-34.png', 'data/vlm/2D/rmts/images/target1-34.png', 'data/vlm/2D/rmts/images/target2-34.png']",shape,circle,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-190.png,"['data/vlm/2D/rmts/images/source-190.png', 'data/vlm/2D/rmts/images/target1-190.png', 'data/vlm/2D/rmts/images/target2-190.png']",color,red,target1,bottom left,right,2nd,[red].
data/vlm/2D/rmts/images/trial-102.png,"['data/vlm/2D/rmts/images/source-102.png', 'data/vlm/2D/rmts/images/target1-102.png', 'data/vlm/2D/rmts/images/target2-102.png']",shape,square,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-188.png,"['data/vlm/2D/rmts/images/source-188.png', 'data/vlm/2D/rmts/images/target1-188.png', 'data/vlm/2D/rmts/images/target2-188.png']",shape,cloud,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-27.png,"['data/vlm/2D/rmts/images/source-27.png', 'data/vlm/2D/rmts/images/target1-27.png', 'data/vlm/2D/rmts/images/target2-27.png']",color,purple,target2,bottom right,right,2nd,[X].
data/vlm/2D/rmts/images/trial-24.png,"['data/vlm/2D/rmts/images/source-24.png', 'data/vlm/2D/rmts/images/target1-24.png', 'data/vlm/2D/rmts/images/target2-24.png']",shape,heart,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-184.png,"['data/vlm/2D/rmts/images/source-184.png', 'data/vlm/2D/rmts/images/target1-184.png', 'data/vlm/2D/rmts/images/target2-184.png']",shape,cross,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-73.png,"['data/vlm/2D/rmts/images/source-73.png', 'data/vlm/2D/rmts/images/target1-73.png', 'data/vlm/2D/rmts/images/target2-73.png']",color,green,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-19.png,"['data/vlm/2D/rmts/images/source-19.png', 'data/vlm/2D/rmts/images/target1-19.png', 'data/vlm/2D/rmts/images/target2-19.png']",shape,heart,source,top,right,2nd,[circle].
