unified_path,decomposed_paths,correct,response
data/vlm/2D/rmts/images/trial-141.png,"['data/vlm/2D/rmts/images/source-141.png', 'data/vlm/2D/rmts/images/target1-141.png', 'data/vlm/2D/rmts/images/target2-141.png']",2,[2].
data/vlm/2D/rmts/images/trial-106.png,"['data/vlm/2D/rmts/images/source-106.png', 'data/vlm/2D/rmts/images/target1-106.png', 'data/vlm/2D/rmts/images/target2-106.png']",2,[2].
data/vlm/2D/rmts/images/trial-59.png,"['data/vlm/2D/rmts/images/source-59.png', 'data/vlm/2D/rmts/images/target1-59.png', 'data/vlm/2D/rmts/images/target2-59.png']",2,[2].
data/vlm/2D/rmts/images/trial-107.png,"['data/vlm/2D/rmts/images/source-107.png', 'data/vlm/2D/rmts/images/target1-107.png', 'data/vlm/2D/rmts/images/target2-107.png']",1,[2].
data/vlm/2D/rmts/images/trial-40.png,"['data/vlm/2D/rmts/images/source-40.png', 'data/vlm/2D/rmts/images/target1-40.png', 'data/vlm/2D/rmts/images/target2-40.png']",1,[2].
data/vlm/2D/rmts/images/trial-55.png,"['data/vlm/2D/rmts/images/source-55.png', 'data/vlm/2D/rmts/images/target1-55.png', 'data/vlm/2D/rmts/images/target2-55.png']",2,[2].
data/vlm/2D/rmts/images/trial-4.png,"['data/vlm/2D/rmts/images/source-4.png', 'data/vlm/2D/rmts/images/target1-4.png', 'data/vlm/2D/rmts/images/target2-4.png']",1,[2].
data/vlm/2D/rmts/images/trial-69.png,"['data/vlm/2D/rmts/images/source-69.png', 'data/vlm/2D/rmts/images/target1-69.png', 'data/vlm/2D/rmts/images/target2-69.png']",2,[2].
data/vlm/2D/rmts/images/trial-130.png,"['data/vlm/2D/rmts/images/source-130.png', 'data/vlm/2D/rmts/images/target1-130.png', 'data/vlm/2D/rmts/images/target2-130.png']",1,[2].
data/vlm/2D/rmts/images/trial-1.png,"['data/vlm/2D/rmts/images/source-1.png', 'data/vlm/2D/rmts/images/target1-1.png', 'data/vlm/2D/rmts/images/target2-1.png']",1,[2].
data/vlm/2D/rmts/images/trial-181.png,"['data/vlm/2D/rmts/images/source-181.png', 'data/vlm/2D/rmts/images/target1-181.png', 'data/vlm/2D/rmts/images/target2-181.png']",1,[2].
data/vlm/2D/rmts/images/trial-180.png,"['data/vlm/2D/rmts/images/source-180.png', 'data/vlm/2D/rmts/images/target1-180.png', 'data/vlm/2D/rmts/images/target2-180.png']",1,[2].
data/vlm/2D/rmts/images/trial-45.png,"['data/vlm/2D/rmts/images/source-45.png', 'data/vlm/2D/rmts/images/target1-45.png', 'data/vlm/2D/rmts/images/target2-45.png']",1,[2].
data/vlm/2D/rmts/images/trial-110.png,"['data/vlm/2D/rmts/images/source-110.png', 'data/vlm/2D/rmts/images/target1-110.png', 'data/vlm/2D/rmts/images/target2-110.png']",1,[2].
data/vlm/2D/rmts/images/trial-195.png,"['data/vlm/2D/rmts/images/source-195.png', 'data/vlm/2D/rmts/images/target1-195.png', 'data/vlm/2D/rmts/images/target2-195.png']",1,[2].
data/vlm/2D/rmts/images/trial-119.png,"['data/vlm/2D/rmts/images/source-119.png', 'data/vlm/2D/rmts/images/target1-119.png', 'data/vlm/2D/rmts/images/target2-119.png']",2,[2].
data/vlm/2D/rmts/images/trial-7.png,"['data/vlm/2D/rmts/images/source-7.png', 'data/vlm/2D/rmts/images/target1-7.png', 'data/vlm/2D/rmts/images/target2-7.png']",2,[2].
data/vlm/2D/rmts/images/trial-26.png,"['data/vlm/2D/rmts/images/source-26.png', 'data/vlm/2D/rmts/images/target1-26.png', 'data/vlm/2D/rmts/images/target2-26.png']",1,[2].
data/vlm/2D/rmts/images/trial-39.png,"['data/vlm/2D/rmts/images/source-39.png', 'data/vlm/2D/rmts/images/target1-39.png', 'data/vlm/2D/rmts/images/target2-39.png']",2,[2].
