index,n_objects,n_trials,n_correct,accuracy,task_name,condition_label
0,1,61,61,1.0,counting_low_diversity,low_entropy
1,2,91,90,0.989010989010989,counting_low_diversity,low_entropy
2,3,100,98,0.98,counting_low_diversity,low_entropy
3,4,99,77,0.7777777777777778,counting_low_diversity,low_entropy
4,5,99,62,0.6262626262626263,counting_low_diversity,low_entropy
5,6,98,22,0.22448979591836735,counting_low_diversity,low_entropy
6,7,98,41,0.41836734693877553,counting_low_diversity,low_entropy
7,8,98,12,0.12244897959183673,counting_low_diversity,low_entropy
8,9,100,14,0.14,counting_low_diversity,low_entropy
9,10,99,0,0.0,counting_low_diversity,low_entropy
10,11,100,6,0.06,counting_low_diversity,low_entropy
11,12,97,2,0.020618556701030927,counting_low_diversity,low_entropy
12,13,99,1,0.010101010101010102,counting_low_diversity,low_entropy
13,14,100,0,0.0,counting_low_diversity,low_entropy
14,15,100,6,0.06,counting_low_diversity,low_entropy
15,16,99,3,0.030303030303030304,counting_low_diversity,low_entropy
16,17,100,13,0.13,counting_low_diversity,low_entropy
17,18,99,69,0.696969696969697,counting_low_diversity,low_entropy
18,19,100,7,0.07,counting_low_diversity,low_entropy
19,20,100,28,0.28,counting_low_diversity,low_entropy
0,1,64,64,1.0,counting_high_diversity,high_entropy
1,2,91,88,0.967032967032967,counting_high_diversity,high_entropy
2,3,100,71,0.71,counting_high_diversity,high_entropy
3,4,100,69,0.69,counting_high_diversity,high_entropy
4,5,99,32,0.32323232323232326,counting_high_diversity,high_entropy
5,6,100,0,0.0,counting_high_diversity,high_entropy
6,7,100,0,0.0,counting_high_diversity,high_entropy
7,8,100,0,0.0,counting_high_diversity,high_entropy
8,9,99,0,0.0,counting_high_diversity,high_entropy
9,10,94,0,0.0,counting_high_diversity,high_entropy
10,11,68,0,0.0,counting_high_diversity,high_entropy
11,12,49,0,0.0,counting_high_diversity,high_entropy
12,13,26,0,0.0,counting_high_diversity,high_entropy
13,14,18,0,0.0,counting_high_diversity,high_entropy
14,15,10,0,0.0,counting_high_diversity,high_entropy
15,16,4,0,0.0,counting_high_diversity,high_entropy
16,17,3,0,0.0,counting_high_diversity,high_entropy
17,18,7,3,0.42857142857142855,counting_high_diversity,high_entropy
18,19,11,0,0.0,counting_high_diversity,high_entropy
19,20,10,1,0.1,counting_high_diversity,high_entropy
0,1,63,53,0.8412698412698413,counting_control,medium_entropy_same_shape
1,2,93,8,0.08602150537634409,counting_control,medium_entropy_same_shape
2,3,75,2,0.02666666666666667,counting_control,medium_entropy_same_shape
3,4,80,7,0.0875,counting_control,medium_entropy_same_shape
4,5,86,1,0.011627906976744186,counting_control,medium_entropy_same_shape
5,6,94,0,0.0,counting_control,medium_entropy_same_shape
6,7,97,0,0.0,counting_control,medium_entropy_same_shape
7,8,99,0,0.0,counting_control,medium_entropy_same_shape
8,9,99,0,0.0,counting_control,medium_entropy_same_shape
9,10,100,0,0.0,counting_control,medium_entropy_same_shape
10,11,100,0,0.0,counting_control,medium_entropy_same_shape
11,12,100,0,0.0,counting_control,medium_entropy_same_shape
12,13,99,0,0.0,counting_control,medium_entropy_same_shape
13,14,99,0,0.0,counting_control,medium_entropy_same_shape
14,15,97,22,0.2268041237113402,counting_control,medium_entropy_same_shape
15,16,98,5,0.05102040816326531,counting_control,medium_entropy_same_shape
16,17,98,0,0.0,counting_control,medium_entropy_same_shape
17,18,97,0,0.0,counting_control,medium_entropy_same_shape
18,19,100,0,0.0,counting_control,medium_entropy_same_shape
19,20,100,0,0.0,counting_control,medium_entropy_same_shape
0,1,63,56,0.8888888888888888,counting_control_shape,medium_entropy_same_color
1,2,93,22,0.23655913978494625,counting_control_shape,medium_entropy_same_color
2,3,92,4,0.043478260869565216,counting_control_shape,medium_entropy_same_color
3,4,89,8,0.0898876404494382,counting_control_shape,medium_entropy_same_color
4,5,91,2,0.02197802197802198,counting_control_shape,medium_entropy_same_color
5,6,96,0,0.0,counting_control_shape,medium_entropy_same_color
6,7,96,0,0.0,counting_control_shape,medium_entropy_same_color
7,8,100,0,0.0,counting_control_shape,medium_entropy_same_color
8,9,99,0,0.0,counting_control_shape,medium_entropy_same_color
9,10,100,0,0.0,counting_control_shape,medium_entropy_same_color
10,11,98,0,0.0,counting_control_shape,medium_entropy_same_color
11,12,98,0,0.0,counting_control_shape,medium_entropy_same_color
12,13,98,0,0.0,counting_control_shape,medium_entropy_same_color
13,14,98,3,0.030612244897959183,counting_control_shape,medium_entropy_same_color
14,15,93,6,0.06451612903225806,counting_control_shape,medium_entropy_same_color
15,16,96,10,0.10416666666666667,counting_control_shape,medium_entropy_same_color
16,17,99,0,0.0,counting_control_shape,medium_entropy_same_color
17,18,98,0,0.0,counting_control_shape,medium_entropy_same_color
18,19,98,0,0.0,counting_control_shape,medium_entropy_same_color
19,20,99,0,0.0,counting_control_shape,medium_entropy_same_color
0,1,56,56,1.0,counting_distinct,control_distinct
1,2,92,88,0.9565217391304348,counting_distinct,control_distinct
2,3,100,81,0.81,counting_distinct,control_distinct
3,4,100,69,0.69,counting_distinct,control_distinct
4,5,100,21,0.21,counting_distinct,control_distinct
5,6,100,0,0.0,counting_distinct,control_distinct
6,7,100,0,0.0,counting_distinct,control_distinct
7,8,100,0,0.0,counting_distinct,control_distinct
8,9,99,0,0.0,counting_distinct,control_distinct
9,10,93,1,0.010752688172043012,counting_distinct,control_distinct
10,11,66,0,0.0,counting_distinct,control_distinct
11,12,51,0,0.0,counting_distinct,control_distinct
12,13,30,0,0.0,counting_distinct,control_distinct
13,14,24,0,0.0,counting_distinct,control_distinct
14,15,12,0,0.0,counting_distinct,control_distinct
15,16,5,0,0.0,counting_distinct,control_distinct
16,17,4,0,0.0,counting_distinct,control_distinct
17,18,8,5,0.625,counting_distinct,control_distinct
18,19,12,0,0.0,counting_distinct,control_distinct
19,20,13,0,0.0,counting_distinct,control_distinct
