index,n_objects,n_trials,n_correct,accuracy,task_name,condition_label
0,1,57,57,1.0,counting_low_diversity,low_entropy
1,2,91,91,1.0,counting_low_diversity,low_entropy
2,3,100,95,0.95,counting_low_diversity,low_entropy
3,4,100,68,0.68,counting_low_diversity,low_entropy
4,5,98,96,0.9795918367346939,counting_low_diversity,low_entropy
5,6,99,90,0.9090909090909091,counting_low_diversity,low_entropy
6,7,100,45,0.45,counting_low_diversity,low_entropy
7,8,99,41,0.41414141414141414,counting_low_diversity,low_entropy
8,9,84,28,0.3333333333333333,counting_low_diversity,low_entropy
9,10,95,54,0.5684210526315789,counting_low_diversity,low_entropy
10,11,100,21,0.21,counting_low_diversity,low_entropy
11,12,98,61,0.6224489795918368,counting_low_diversity,low_entropy
12,13,100,2,0.02,counting_low_diversity,low_entropy
13,14,100,0,0.0,counting_low_diversity,low_entropy
14,15,100,0,0.0,counting_low_diversity,low_entropy
15,16,100,0,0.0,counting_low_diversity,low_entropy
16,17,100,0,0.0,counting_low_diversity,low_entropy
17,18,100,8,0.08,counting_low_diversity,low_entropy
18,19,100,19,0.19,counting_low_diversity,low_entropy
19,20,100,23,0.23,counting_low_diversity,low_entropy
0,1,98,98,1.0,counting_high_diversity,high_entropy
1,2,76,70,0.9210526315789473,counting_high_diversity,high_entropy
2,3,100,100,1.0,counting_high_diversity,high_entropy
3,4,74,56,0.7567567567567568,counting_high_diversity,high_entropy
4,5,46,43,0.9347826086956522,counting_high_diversity,high_entropy
5,6,93,43,0.46236559139784944,counting_high_diversity,high_entropy
6,7,100,2,0.02,counting_high_diversity,high_entropy
7,8,96,23,0.23958333333333334,counting_high_diversity,high_entropy
8,9,97,14,0.14432989690721648,counting_high_diversity,high_entropy
9,10,82,53,0.6463414634146342,counting_high_diversity,high_entropy
10,11,100,0,0.0,counting_high_diversity,high_entropy
11,12,100,57,0.57,counting_high_diversity,high_entropy
12,13,100,0,0.0,counting_high_diversity,high_entropy
13,14,99,12,0.12121212121212122,counting_high_diversity,high_entropy
14,15,100,1,0.01,counting_high_diversity,high_entropy
15,16,100,0,0.0,counting_high_diversity,high_entropy
16,17,100,0,0.0,counting_high_diversity,high_entropy
17,18,100,0,0.0,counting_high_diversity,high_entropy
18,19,100,0,0.0,counting_high_diversity,high_entropy
19,20,100,0,0.0,counting_high_diversity,high_entropy
0,1,94,94,1.0,counting_distinct,control_distinct
1,2,66,58,0.8787878787878788,counting_distinct,control_distinct
2,3,98,98,1.0,counting_distinct,control_distinct
3,4,69,44,0.6376811594202898,counting_distinct,control_distinct
4,5,42,34,0.8095238095238095,counting_distinct,control_distinct
5,6,95,31,0.3263157894736842,counting_distinct,control_distinct
6,7,100,2,0.02,counting_distinct,control_distinct
7,8,99,16,0.16161616161616163,counting_distinct,control_distinct
8,9,97,9,0.09278350515463918,counting_distinct,control_distinct
9,10,89,65,0.7303370786516854,counting_distinct,control_distinct
10,11,100,1,0.01,counting_distinct,control_distinct
11,12,100,59,0.59,counting_distinct,control_distinct
12,13,100,0,0.0,counting_distinct,control_distinct
13,14,100,11,0.11,counting_distinct,control_distinct
14,15,100,0,0.0,counting_distinct,control_distinct
15,16,100,0,0.0,counting_distinct,control_distinct
16,17,100,0,0.0,counting_distinct,control_distinct
17,18,100,0,0.0,counting_distinct,control_distinct
18,19,100,0,0.0,counting_distinct,control_distinct
19,20,100,0,0.0,counting_distinct,control_distinct
