index,n_objects,n_trials,n_correct,accuracy,task_name,condition_label
0,5,200,101,0.505,disjunctive_search,disjunctive
1,10,200,100,0.5,disjunctive_search,disjunctive
2,15,200,100,0.5,disjunctive_search,disjunctive
3,20,200,100,0.5,disjunctive_search,disjunctive
4,25,200,100,0.5,disjunctive_search,disjunctive
5,30,200,100,0.5,disjunctive_search,disjunctive
6,35,200,100,0.5,disjunctive_search,disjunctive
7,40,200,100,0.5,disjunctive_search,disjunctive
8,45,200,100,0.5,disjunctive_search,disjunctive
9,50,188,100,0.5319148936170213,disjunctive_search,disjunctive
0,5,200,129,0.645,conjunctive_search,conjunctive
1,10,200,100,0.5,conjunctive_search,conjunctive
2,15,200,100,0.5,conjunctive_search,conjunctive
3,20,200,100,0.5,conjunctive_search,conjunctive
4,25,200,100,0.5,conjunctive_search,conjunctive
5,30,200,100,0.5,conjunctive_search,conjunctive
6,35,200,100,0.5,conjunctive_search,conjunctive
7,40,200,100,0.5,conjunctive_search,conjunctive
8,45,200,100,0.5,conjunctive_search,conjunctive
9,50,200,100,0.5,conjunctive_search,conjunctive
