index,n_objects,n_trials,n_correct,accuracy,task_name,condition_label
0,1,22,22,1.0,counting_low_diversity,low_entropy
1,2,98,98,1.0,counting_low_diversity,low_entropy
2,3,14,14,1.0,counting_low_diversity,low_entropy
3,4,45,45,1.0,counting_low_diversity,low_entropy
4,5,74,74,1.0,counting_low_diversity,low_entropy
5,6,82,78,0.9512195121951219,counting_low_diversity,low_entropy
6,7,85,77,0.9058823529411765,counting_low_diversity,low_entropy
7,8,100,87,0.87,counting_low_diversity,low_entropy
8,9,100,90,0.9,counting_low_diversity,low_entropy
9,10,100,82,0.82,counting_low_diversity,low_entropy
10,11,100,1,0.01,counting_low_diversity,low_entropy
11,12,100,0,0.0,counting_low_diversity,low_entropy
12,13,100,5,0.05,counting_low_diversity,low_entropy
13,14,100,2,0.02,counting_low_diversity,low_entropy
14,15,100,29,0.29,counting_low_diversity,low_entropy
15,16,100,41,0.41,counting_low_diversity,low_entropy
16,17,100,17,0.17,counting_low_diversity,low_entropy
17,18,100,67,0.67,counting_low_diversity,low_entropy
18,19,100,30,0.3,counting_low_diversity,low_entropy
19,20,100,88,0.88,counting_low_diversity,low_entropy
0,1,11,11,1.0,counting_high_diversity,high_entropy
1,2,81,81,1.0,counting_high_diversity,high_entropy
2,3,4,4,1.0,counting_high_diversity,high_entropy
3,4,15,15,1.0,counting_high_diversity,high_entropy
4,5,29,29,1.0,counting_high_diversity,high_entropy
5,6,37,36,0.972972972972973,counting_high_diversity,high_entropy
6,7,47,46,0.9787234042553191,counting_high_diversity,high_entropy
7,8,80,79,0.9875,counting_high_diversity,high_entropy
8,9,100,98,0.98,counting_high_diversity,high_entropy
9,10,100,98,0.98,counting_high_diversity,high_entropy
10,11,100,0,0.0,counting_high_diversity,high_entropy
11,12,100,0,0.0,counting_high_diversity,high_entropy
12,13,100,0,0.0,counting_high_diversity,high_entropy
13,14,100,0,0.0,counting_high_diversity,high_entropy
14,15,100,1,0.01,counting_high_diversity,high_entropy
15,16,100,3,0.03,counting_high_diversity,high_entropy
16,17,100,1,0.01,counting_high_diversity,high_entropy
17,18,100,60,0.6,counting_high_diversity,high_entropy
18,19,100,5,0.05,counting_high_diversity,high_entropy
19,20,100,80,0.8,counting_high_diversity,high_entropy
0,1,17,17,1.0,counting_distinct,distinct
1,2,84,84,1.0,counting_distinct,distinct
2,3,8,8,1.0,counting_distinct,distinct
3,4,8,8,1.0,counting_distinct,distinct
4,5,29,29,1.0,counting_distinct,distinct
5,6,52,51,0.9807692307692307,counting_distinct,distinct
6,7,61,59,0.9672131147540983,counting_distinct,distinct
7,8,78,74,0.9487179487179487,counting_distinct,distinct
8,9,100,88,0.88,counting_distinct,distinct
9,10,100,98,0.98,counting_distinct,distinct
10,11,100,0,0.0,counting_distinct,distinct
11,12,100,0,0.0,counting_distinct,distinct
12,13,100,1,0.01,counting_distinct,distinct
13,14,100,0,0.0,counting_distinct,distinct
14,15,100,7,0.07,counting_distinct,distinct
15,16,100,6,0.06,counting_distinct,distinct
16,17,100,0,0.0,counting_distinct,distinct
17,18,100,66,0.66,counting_distinct,distinct
18,19,100,15,0.15,counting_distinct,distinct
19,20,100,82,0.82,counting_distinct,distinct
