index,n_objects,n_trials,n_correct,accuracy,task_name,condition_label
0,5,191,95,0.4973821989528796,disjunctive_search,disjunctive
1,10,174,85,0.4885057471264368,disjunctive_search,disjunctive
2,15,148,71,0.4797297297297297,disjunctive_search,disjunctive
3,20,159,76,0.4779874213836478,disjunctive_search,disjunctive
4,25,136,64,0.47058823529411764,disjunctive_search,disjunctive
5,30,127,54,0.4251968503937008,disjunctive_search,disjunctive
6,35,123,47,0.3821138211382114,disjunctive_search,disjunctive
7,40,119,39,0.3277310924369748,disjunctive_search,disjunctive
8,45,128,35,0.2734375,disjunctive_search,disjunctive
9,50,109,32,0.29357798165137616,disjunctive_search,disjunctive
0,5,117,63,0.5384615384615384,conjunctive_search,conjunctive
1,10,56,30,0.5357142857142857,conjunctive_search,conjunctive
2,15,15,10,0.6666666666666666,conjunctive_search,conjunctive
3,20,12,9,0.75,conjunctive_search,conjunctive
4,25,9,7,0.7777777777777778,conjunctive_search,conjunctive
5,30,7,4,0.5714285714285714,conjunctive_search,conjunctive
6,35,4,2,0.5,conjunctive_search,conjunctive
7,40,8,5,0.625,conjunctive_search,conjunctive
8,45,6,4,0.6666666666666666,conjunctive_search,conjunctive
9,50,17,10,0.5882352941176471,conjunctive_search,conjunctive
