index,n_objects,n_trials,n_correct,accuracy,task_name,condition_label
0,1,77,77,1.0,counting_low_diversity,low_entropy
1,2,81,75,0.9259259259259259,counting_low_diversity,low_entropy
2,3,54,41,0.7592592592592593,counting_low_diversity,low_entropy
3,4,50,33,0.66,counting_low_diversity,low_entropy
4,5,31,21,0.6774193548387096,counting_low_diversity,low_entropy
5,6,33,20,0.6060606060606061,counting_low_diversity,low_entropy
6,7,29,10,0.3448275862068966,counting_low_diversity,low_entropy
7,8,31,3,0.0967741935483871,counting_low_diversity,low_entropy
8,9,25,10,0.4,counting_low_diversity,low_entropy
9,10,19,9,0.47368421052631576,counting_low_diversity,low_entropy
10,11,22,1,0.045454545454545456,counting_low_diversity,low_entropy
11,12,31,2,0.06451612903225806,counting_low_diversity,low_entropy
12,13,24,0,0.0,counting_low_diversity,low_entropy
13,14,31,0,0.0,counting_low_diversity,low_entropy
14,15,32,27,0.84375,counting_low_diversity,low_entropy
15,16,38,0,0.0,counting_low_diversity,low_entropy
16,17,52,0,0.0,counting_low_diversity,low_entropy
17,18,53,0,0.0,counting_low_diversity,low_entropy
18,19,58,2,0.034482758620689655,counting_low_diversity,low_entropy
19,20,59,36,0.6101694915254238,counting_low_diversity,low_entropy
0,1,74,73,0.9864864864864865,counting_high_diversity,high_entropy
1,2,96,92,0.9583333333333334,counting_high_diversity,high_entropy
2,3,100,86,0.86,counting_high_diversity,high_entropy
3,4,100,65,0.65,counting_high_diversity,high_entropy
4,5,98,49,0.5,counting_high_diversity,high_entropy
5,6,99,50,0.5050505050505051,counting_high_diversity,high_entropy
6,7,99,35,0.35353535353535354,counting_high_diversity,high_entropy
7,8,99,23,0.23232323232323232,counting_high_diversity,high_entropy
8,9,100,21,0.21,counting_high_diversity,high_entropy
9,10,99,23,0.23232323232323232,counting_high_diversity,high_entropy
10,11,98,15,0.15306122448979592,counting_high_diversity,high_entropy
11,12,97,5,0.05154639175257732,counting_high_diversity,high_entropy
12,13,96,10,0.10416666666666667,counting_high_diversity,high_entropy
13,14,91,22,0.24175824175824176,counting_high_diversity,high_entropy
14,15,97,17,0.17525773195876287,counting_high_diversity,high_entropy
15,16,92,13,0.14130434782608695,counting_high_diversity,high_entropy
16,17,89,6,0.06741573033707865,counting_high_diversity,high_entropy
17,18,86,3,0.03488372093023256,counting_high_diversity,high_entropy
18,19,91,3,0.03296703296703297,counting_high_diversity,high_entropy
19,20,89,33,0.3707865168539326,counting_high_diversity,high_entropy
0,1,91,90,0.989010989010989,counting_control,medium_entropy_same_shape
1,2,99,75,0.7575757575757576,counting_control,medium_entropy_same_shape
2,3,100,84,0.84,counting_control,medium_entropy_same_shape
3,4,99,71,0.7171717171717171,counting_control,medium_entropy_same_shape
4,5,89,64,0.7191011235955056,counting_control,medium_entropy_same_shape
5,6,85,59,0.6941176470588235,counting_control,medium_entropy_same_shape
6,7,74,49,0.6621621621621622,counting_control,medium_entropy_same_shape
7,8,79,39,0.4936708860759494,counting_control,medium_entropy_same_shape
8,9,61,25,0.4098360655737705,counting_control,medium_entropy_same_shape
9,10,65,39,0.6,counting_control,medium_entropy_same_shape
10,11,66,20,0.30303030303030304,counting_control,medium_entropy_same_shape
11,12,69,28,0.4057971014492754,counting_control,medium_entropy_same_shape
12,13,79,10,0.12658227848101267,counting_control,medium_entropy_same_shape
13,14,74,23,0.3108108108108108,counting_control,medium_entropy_same_shape
14,15,77,34,0.44155844155844154,counting_control,medium_entropy_same_shape
15,16,89,46,0.5168539325842697,counting_control,medium_entropy_same_shape
16,17,94,23,0.24468085106382978,counting_control,medium_entropy_same_shape
17,18,92,2,0.021739130434782608,counting_control,medium_entropy_same_shape
18,19,96,19,0.19791666666666666,counting_control,medium_entropy_same_shape
19,20,96,45,0.46875,counting_control,medium_entropy_same_shape
0,1,92,92,1.0,counting_control_shape,medium_entropy_same_color
1,2,99,83,0.8383838383838383,counting_control_shape,medium_entropy_same_color
2,3,99,79,0.797979797979798,counting_control_shape,medium_entropy_same_color
3,4,97,68,0.7010309278350515,counting_control_shape,medium_entropy_same_color
4,5,88,75,0.8522727272727273,counting_control_shape,medium_entropy_same_color
5,6,84,63,0.75,counting_control_shape,medium_entropy_same_color
6,7,86,60,0.6976744186046512,counting_control_shape,medium_entropy_same_color
7,8,83,52,0.6265060240963856,counting_control_shape,medium_entropy_same_color
8,9,82,53,0.6463414634146342,counting_control_shape,medium_entropy_same_color
9,10,80,35,0.4375,counting_control_shape,medium_entropy_same_color
10,11,88,32,0.36363636363636365,counting_control_shape,medium_entropy_same_color
11,12,88,22,0.25,counting_control_shape,medium_entropy_same_color
12,13,95,20,0.21052631578947367,counting_control_shape,medium_entropy_same_color
13,14,96,31,0.3229166666666667,counting_control_shape,medium_entropy_same_color
14,15,96,38,0.3958333333333333,counting_control_shape,medium_entropy_same_color
15,16,97,47,0.4845360824742268,counting_control_shape,medium_entropy_same_color
16,17,98,16,0.16326530612244897,counting_control_shape,medium_entropy_same_color
17,18,97,6,0.061855670103092786,counting_control_shape,medium_entropy_same_color
18,19,99,14,0.1414141414141414,counting_control_shape,medium_entropy_same_color
19,20,98,43,0.4387755102040816,counting_control_shape,medium_entropy_same_color
0,1,74,74,1.0,counting_distinct,control_distinct
1,2,98,94,0.9591836734693877,counting_distinct,control_distinct
2,3,99,80,0.8080808080808081,counting_distinct,control_distinct
3,4,99,71,0.7171717171717171,counting_distinct,control_distinct
4,5,98,60,0.6122448979591837,counting_distinct,control_distinct
5,6,99,43,0.43434343434343436,counting_distinct,control_distinct
6,7,99,38,0.3838383838383838,counting_distinct,control_distinct
7,8,97,20,0.20618556701030927,counting_distinct,control_distinct
8,9,99,28,0.2828282828282828,counting_distinct,control_distinct
9,10,97,20,0.20618556701030927,counting_distinct,control_distinct
10,11,97,11,0.1134020618556701,counting_distinct,control_distinct
11,12,99,7,0.0707070707070707,counting_distinct,control_distinct
12,13,96,12,0.125,counting_distinct,control_distinct
13,14,96,13,0.13541666666666666,counting_distinct,control_distinct
14,15,97,17,0.17525773195876287,counting_distinct,control_distinct
15,16,90,8,0.08888888888888889,counting_distinct,control_distinct
16,17,94,4,0.0425531914893617,counting_distinct,control_distinct
17,18,84,2,0.023809523809523808,counting_distinct,control_distinct
18,19,86,7,0.08139534883720931,counting_distinct,control_distinct
19,20,82,30,0.36585365853658536,counting_distinct,control_distinct
