index,n_objects,gt_triplets,n_trials,mean_errors,median_errors,task_name
0,0,0,100,8.82,10.0,scene_description_balanced
1,0,2,100,9.34,10.0,scene_description_balanced
2,0,3,100,9.44,9.0,scene_description_balanced
3,0,4,100,9.47,10.0,scene_description_balanced
4,0,5,100,9.04,9.0,scene_description_balanced
5,0,6,100,8.98,9.0,scene_description_balanced
6,0,7,100,8.17,9.0,scene_description_balanced
7,0,8,100,9.16,10.0,scene_description_balanced
8,0,9,100,8.16,9.0,scene_description_balanced
9,0,10,100,8.3,9.0,scene_description_balanced
10,0,11,100,7.93,9.0,scene_description_balanced
11,0,12,100,8.76,9.0,scene_description_balanced
12,0,13,100,7.98,9.0,scene_description_balanced
13,0,14,100,8.73,9.0,scene_description_balanced
14,0,15,100,8.5,9.0,scene_description_balanced
15,0,16,100,9.21,9.0,scene_description_balanced
16,0,17,100,7.88,9.0,scene_description_balanced
17,0,18,100,8.52,9.0,scene_description_balanced
18,0,19,100,8.38,9.0,scene_description_balanced
19,0,20,100,8.7,9.0,scene_description_balanced
20,0,21,100,7.97,9.0,scene_description_balanced
21,0,22,100,8.45,9.0,scene_description_balanced
22,0,23,100,8.44,9.0,scene_description_balanced
23,0,24,100,8.49,9.0,scene_description_balanced
24,0,25,100,8.57,9.0,scene_description_balanced
25,0,26,100,8.53,9.0,scene_description_balanced
26,0,27,100,8.65,9.0,scene_description_balanced
27,0,28,100,8.9,9.0,scene_description_balanced
28,0,29,100,8.8,9.0,scene_description_balanced
29,0,30,100,8.67,9.0,scene_description_balanced
30,0,31,100,8.42,9.0,scene_description_balanced
31,0,32,100,9.27,9.0,scene_description_balanced
32,0,33,100,8.6,9.0,scene_description_balanced
33,0,34,100,9.1,9.0,scene_description_balanced
34,0,35,100,8.59,9.0,scene_description_balanced
35,0,36,100,9.15,9.0,scene_description_balanced
