index,n_objects,n_trials,n_correct,accuracy,task_name,condition_label
0,5,198,197,0.9949494949494949,disjunctive_search,disjunctive
1,10,200,186,0.93,disjunctive_search,disjunctive
2,15,200,177,0.885,disjunctive_search,disjunctive
3,20,200,174,0.87,disjunctive_search,disjunctive
4,25,200,184,0.92,disjunctive_search,disjunctive
5,30,200,184,0.92,disjunctive_search,disjunctive
6,35,200,198,0.99,disjunctive_search,disjunctive
7,40,200,196,0.98,disjunctive_search,disjunctive
8,45,200,198,0.99,disjunctive_search,disjunctive
9,50,200,200,1.0,disjunctive_search,disjunctive
0,5,196,178,0.9081632653061225,disjunctive_search_control,disjunctive_control
1,10,184,169,0.9184782608695652,disjunctive_search_control,disjunctive_control
2,15,198,192,0.9696969696969697,disjunctive_search_control,disjunctive_control
3,20,199,199,1.0,disjunctive_search_control,disjunctive_control
4,25,200,200,1.0,disjunctive_search_control,disjunctive_control
5,30,200,200,1.0,disjunctive_search_control,disjunctive_control
6,35,200,200,1.0,disjunctive_search_control,disjunctive_control
7,40,200,200,1.0,disjunctive_search_control,disjunctive_control
8,45,200,200,1.0,disjunctive_search_control,disjunctive_control
9,50,200,200,1.0,disjunctive_search_control,disjunctive_control
0,5,200,138,0.69,conjunctive_search,conjunctive
1,10,200,136,0.68,conjunctive_search,conjunctive
2,15,199,135,0.678391959798995,conjunctive_search,conjunctive
3,20,195,119,0.6102564102564103,conjunctive_search,conjunctive
4,25,197,118,0.5989847715736041,conjunctive_search,conjunctive
5,30,197,111,0.5634517766497462,conjunctive_search,conjunctive
6,35,196,115,0.5867346938775511,conjunctive_search,conjunctive
7,40,192,96,0.5,conjunctive_search,conjunctive
8,45,182,94,0.5164835164835165,conjunctive_search,conjunctive
9,50,182,91,0.5,conjunctive_search,conjunctive
