index,n_objects,gt_triplets,n_trials,mean_errors,median_errors,task_name
0,0,0,100,10.3,12.0,scene_description_balanced
1,0,2,100,9.99,11.0,scene_description_balanced
2,0,3,100,8.06,10.0,scene_description_balanced
3,0,4,100,9.51,11.0,scene_description_balanced
4,0,5,100,7.87,10.0,scene_description_balanced
5,0,6,100,9.33,11.0,scene_description_balanced
6,0,7,100,8.33,11.0,scene_description_balanced
7,0,8,100,8.71,10.5,scene_description_balanced
8,0,9,100,7.47,10.0,scene_description_balanced
9,0,10,100,8.93,11.0,scene_description_balanced
10,0,11,100,7.83,10.5,scene_description_balanced
11,0,12,100,8.75,11.0,scene_description_balanced
12,0,13,100,8.53,10.0,scene_description_balanced
13,0,14,100,8.08,10.0,scene_description_balanced
14,0,15,100,9.58,11.0,scene_description_balanced
15,0,16,100,8.74,11.0,scene_description_balanced
16,0,17,100,7.42,10.0,scene_description_balanced
17,0,18,100,8.37,11.0,scene_description_balanced
18,0,19,100,7.35,10.0,scene_description_balanced
19,0,20,100,7.57,10.0,scene_description_balanced
20,0,21,100,7.44,10.0,scene_description_balanced
21,0,22,100,7.77,10.0,scene_description_balanced
22,0,23,100,6.61,9.0,scene_description_balanced
23,0,24,100,7.38,10.0,scene_description_balanced
24,0,25,100,7.88,10.0,scene_description_balanced
25,0,26,100,7.09,10.0,scene_description_balanced
26,0,27,100,8.32,10.0,scene_description_balanced
27,0,28,100,7.36,10.0,scene_description_balanced
28,0,29,100,6.96,9.0,scene_description_balanced
29,0,30,100,7.34,10.0,scene_description_balanced
30,0,31,100,7.22,10.0,scene_description_balanced
31,0,32,100,8.49,10.0,scene_description_balanced
32,0,33,100,8.42,11.0,scene_description_balanced
33,0,34,100,7.35,10.0,scene_description_balanced
34,0,35,100,6.02,9.0,scene_description_balanced
35,0,36,100,7.84,10.5,scene_description_balanced
