index,n_objects,n_trials,n_correct,accuracy,task_name,condition_label
0,5,200,97,0.485,disjunctive_search,disjunctive
1,10,196,96,0.4897959183673469,disjunctive_search,disjunctive
2,15,200,98,0.49,disjunctive_search,disjunctive
3,20,200,100,0.5,disjunctive_search,disjunctive
4,25,200,100,0.5,disjunctive_search,disjunctive
5,30,200,100,0.5,disjunctive_search,disjunctive
6,35,196,97,0.49489795918367346,disjunctive_search,disjunctive
7,40,176,88,0.5,disjunctive_search,disjunctive
8,45,135,70,0.5185185185185185,disjunctive_search,disjunctive
9,50,98,64,0.6530612244897959,disjunctive_search,disjunctive
0,5,200,132,0.66,disjunctive_search_control,disjunctive_control
1,10,190,107,0.5631578947368421,disjunctive_search_control,disjunctive_control
2,15,197,105,0.5329949238578681,disjunctive_search_control,disjunctive_control
3,20,198,100,0.5050505050505051,disjunctive_search_control,disjunctive_control
4,25,198,100,0.5050505050505051,disjunctive_search_control,disjunctive_control
5,30,190,100,0.5263157894736842,disjunctive_search_control,disjunctive_control
6,35,187,99,0.5294117647058824,disjunctive_search_control,disjunctive_control
7,40,151,86,0.5695364238410596,disjunctive_search_control,disjunctive_control
8,45,126,74,0.5873015873015873,disjunctive_search_control,disjunctive_control
9,50,93,61,0.6559139784946236,disjunctive_search_control,disjunctive_control
0,5,64,28,0.4375,conjunctive_search,conjunctive
1,10,34,17,0.5,conjunctive_search,conjunctive
2,15,21,11,0.5238095238095238,conjunctive_search,conjunctive
3,20,27,13,0.48148148148148145,conjunctive_search,conjunctive
4,25,76,41,0.5394736842105263,conjunctive_search,conjunctive
5,30,153,74,0.48366013071895425,conjunctive_search,conjunctive
6,35,184,94,0.5108695652173914,conjunctive_search,conjunctive
7,40,183,92,0.5027322404371585,conjunctive_search,conjunctive
8,45,158,78,0.4936708860759494,conjunctive_search,conjunctive
9,50,100,50,0.5,conjunctive_search,conjunctive
